epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.89,2.00166,2.15592,1.80836,1,0.78963,0.89481,0.70771,2.05081,2.20746,2.04193,0.0820144,0.00199841,0.00199841
2,757.123,1.98882,2.10649,1.82235,1,0.80802,0.90397,0.70568,2.048,3.32045,1.95196,0.0640134,0.00399742,0.00399742
3,1084.69,1.94528,2.04414,1.79168,1,0.83673,0.9183,0.72303,1.96486,1.98705,1.87716,0.0460084,0.00599249,0.00599249
4,1415.86,1.90681,1.96835,1.7535,1,0.83725,0.91857,0.73392,1.85384,1.8991,1.77553,0.0279966,0.00798067,0.00798067
5,1748.65,1.86497,1.91825,1.72378,1,0.84854,0.92423,0.73515,1.85792,1.81363,1.77396,0.00997497,0.00995902,0.00995902
6,2095.38,1.82756,1.85738,1.7006,1,0.86758,0.93372,0.74326,1.78083,1.80576,1.72164,0.0099385,0.0099385,0.0099385
7,2453.46,1.80778,1.82041,1.67778,1,0.85556,0.92769,0.74316,1.72189,1.74523,1.65222,0.00991152,0.00991152,0.00991152
8,2844.5,1.77561,1.77155,1.65699,1,0.87137,0.93564,0.7506,1.71285,1.64043,1.6671,0.0098797,0.0098797,0.0098797
9,3162.58,1.77875,1.75471,1.65531,1,0.86253,0.93119,0.74629,1.72533,1.53672,1.64516,0.00984307,0.00984307,0.00984307
10,3481.58,1.74746,1.72625,1.63022,1,0.87791,0.93889,0.754,1.68383,1.50667,1.61577,0.00980167,0.00980167,0.00980167
11,3808.13,1.73757,1.69769,1.62132,1,0.87207,0.93597,0.75373,1.6628,1.47143,1.60841,0.00975553,0.00975553,0.00975553
12,4134.39,1.72883,1.68776,1.61692,1,0.88,0.94,0.75752,1.65226,1.45149,1.59123,0.0097047,0.0097047,0.0097047
13,4469.41,1.71857,1.67259,1.61002,1,0.87878,0.93935,0.75838,1.63466,1.40982,1.57318,0.00964923,0.00964923,0.00964923
14,4779.11,1.71441,1.65437,1.59542,1,0.8837,0.94175,0.76076,1.62892,1.38782,1.54769,0.00958918,0.00958918,0.00958918
15,5074.19,1.70592,1.64406,1.59934,1,0.88475,0.94227,0.76216,1.60242,1.38378,1.5546,0.00952461,0.00952461,0.00952461
16,5396.65,1.69978,1.62225,1.58271,1,0.88122,0.94056,0.7639,1.57552,1.35895,1.5414,0.00945558,0.00945558,0.00945558
17,5723.66,1.68893,1.61727,1.58047,1,0.88157,0.94073,0.76578,1.55278,1.33482,1.5112,0.00938215,0.00938215,0.00938215
18,6050.34,1.68319,1.60507,1.57544,1,0.88963,0.9448,0.76884,1.53463,1.32836,1.50665,0.00930441,0.00930441,0.00930441
19,6375.15,1.6652,1.58062,1.5621,1,0.89089,0.94541,0.76962,1.53321,1.31957,1.50336,0.00922242,0.00922242,0.00922242
