epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.135,1.47711,1.33427,1.45536,1,0.8881,0.94398,0.77626,1.44305,1.21238,1.41179,0.0670263,0.000333068,0.000333068
2,569.23,1.43022,1.27465,1.4202,1,0.90723,0.95351,0.78738,1.36658,1.13869,1.36491,0.0340257,0.000665743,0.000665743
3,845.36,1.4026,1.24552,1.4047,1,0.90484,0.95229,0.7897,1.34396,1.11572,1.3521,0.00102237,0.000995793,0.000995793
4,1125.52,1.39865,1.23473,1.39788,1,0.90527,0.9525,0.79054,1.3336,1.10798,1.34709,0.000991145,0.000991145,0.000991145
5,1408.13,1.39639,1.235,1.39595,1,0.90362,0.95169,0.78954,1.33761,1.10592,1.3477,0.000984293,0.000984293,0.000984293
6,1684.52,1.39111,1.2202,1.39678,1,0.90401,0.95188,0.78927,1.33614,1.10597,1.34729,0.000975531,0.000975531,0.000975531
7,1960.45,1.38906,1.22596,1.38995,1,0.90436,0.95205,0.79009,1.33185,1.10815,1.34758,0.000964892,0.000964892,0.000964892
8,2236.69,1.3845,1.22317,1.39367,1,0.90436,0.95205,0.79075,1.3288,1.09998,1.34297,0.000952418,0.000952418,0.000952418
9,2518,1.39101,1.22959,1.39198,1,0.90375,0.95175,0.7906,1.32656,1.10483,1.33967,0.00093816,0.00093816,0.00093816
10,2800.19,1.38403,1.21782,1.3861,1,0.90405,0.9519,0.78984,1.33554,1.10128,1.3461,0.000922172,0.000922172,0.000922172
11,3081.15,1.3916,1.22645,1.39502,1,0.90466,0.9522,0.79081,1.32874,1.1021,1.34505,0.000904518,0.000904518,0.000904518
12,3356.13,1.37595,1.21619,1.3836,1,0.90562,0.95268,0.78964,1.33507,1.09774,1.34683,0.000885268,0.000885268,0.000885268
13,3637.3,1.38227,1.21854,1.3896,1,0.90488,0.95231,0.79065,1.32414,1.09411,1.34272,0.000864498,0.000864498,0.000864498
